# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
maedicww-shekzeer	2026-09-11 14:27:32	2393	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
maestrø-shekzeer	2026-09-11 14:27:30	2456	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
mellamell-shekzeer	2026-09-11 14:27:30	2427	399,400,401,402,403,405,1159,1174,2090
mojozx-shekzeer	2026-09-11 14:27:24	2564	399,400,401,1159,1174,2090,2091,2092,2093
muryokusho-shekzeer	2026-09-11 14:27:26	2475	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
noneedórb-shekzeer	2026-09-11 14:27:25	2499	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
norskugle-shekzeer	2026-09-11 14:27:33	2373	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
nouse-shekzeer	2026-09-11 14:27:25	2503	399,400,401,402,403,405,1159,1174,2090,2091,2092,2093
nousey-shekzeer	2026-09-11 14:27:25	2508	399,400,401,402,403,405,1159,1174,2090,2091,2092,2093
nousie-shekzeer	2026-09-11 14:27:25	2504	399,400,401,402,403,405,1159,1174,2090,2091,2092,2093
orbyy-shekzeer	2026-09-11 14:27:33	2386	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
osx-shekzeer	2026-09-11 14:27:24	2547	
parkettaszeg-shekzeer	2026-09-11 14:27:33	2369	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
pennyz-everlook	2026-09-11 14:27:33	2409	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
plåýbøt-shekzeer	2026-09-11 14:27:32	2410	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
prîestotp-shekzeer	2026-09-11 14:27:25	2504	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2092,2093,5266,5267
raziðper-shekzeer	2026-09-11 14:27:23	2639	399,400,401,402,403,405,1159,1174,2090,2091,2092,2093
razor-everlook	2026-09-11 14:27:32	2425	399,400,401,402,406,1159,1174,2090,2092,2093
rockyx-shekzeer	2026-09-11 14:27:30	2425	399,400,401,1159,1174
rofmagex-mirage-raceway	2026-09-11 14:27:31	2457	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
rofmagexy-mirage-raceway	2026-09-11 14:27:30	2458	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
ronwilson-shekzeer	2026-09-11 14:27:32	2385	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
ruzha-shekzeer	2026-09-11 14:27:32	2408	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266
salvxx-shekzeer	2026-09-11 14:27:30	2449	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
